date,forecast_vol,future_realized_vol,naive_vol,long_run_vol,garch_error,naive_error,long_run_error
2023-05-26,0.1568886452662136,0.1028057000083812,0.13003219392072699,0.19636272646062433,0.0540829452578324,0.027226493912345787,0.09355702645224313
2023-06-27,0.1432714858561406,0.09688050424965819,0.11239801394411598,0.19376880403693644,0.04639098160648242,0.015517509694457796,0.09688829978727825
2023-07-26,0.12671610825323165,0.11536376031334056,0.09160973724088838,0.19092959990665068,0.011352347939891094,-0.023754023072452182,0.07556583959331012
2023-08-23,0.13161974080622205,0.12727336902026576,0.0983575167527527,0.18851425166437003,0.004346371785956288,-0.02891585226751306,0.061240882644104266
2023-09-21,0.13626685137649802,0.14078979789321536,0.11261582667227105,0.186512363475368,-0.0045229465167173355,-0.02817397122094431,0.04572256558215265
2023-10-19,0.1457003117555905,0.13430830556113238,0.12259640967893627,0.18494172414307403,0.011392006194458126,-0.011711895882196108,0.05063341858194165
2023-11-16,0.16562195623554316,0.08132435707558514,0.14905401215284617,0.18424033423007288,0.08429759915995802,0.06772965507726103,0.10291597715448775
2023-12-15,0.13380178313166102,0.09584396591043101,0.10281833263430845,0.18184615421305902,0.03795781722123001,0.00697436672387744,0.08600218830262801
2024-01-17,0.12598215266375293,0.12243395145748841,0.0965701900643743,0.17985894562470753,0.00354820120626452,-0.02586376139311411,0.05742499416721912
2024-02-14,0.139796201755056,0.1054516275999869,0.1159534418632788,0.17845998961354156,0.0343445741550691,0.0105018142632919,0.07300836201355466
2024-03-14,0.13552502949175582,0.11245400449246218,0.1280406562249335,0.17698881666521302,0.023071024999293643,0.015586651732471313,0.06453481217275084
2024-04-12,0.12981959479289573,0.12143150533530601,0.10285818435192334,0.17526973845563346,0.008388089457589717,-0.01857332098338267,0.05383823312032744
2024-05-10,0.14050143365735687,0.07902925419380238,0.12906717266704282,0.17431024849804666,0.06147217946355449,0.050037918473240434,0.09528099430424428
2024-06-10,0.12421712767471237,0.08976017535116798,0.10390289842196752,0.17257283539886098,0.034456952323544385,0.014142723070799543,0.082812660047693
2024-07-10,0.10379769332488281,0.19534504646188883,0.06997315142802014,0.17061177016861723,-0.09154735313700602,-0.1253718950338687,-0.0247332762932716
2024-08-07,0.20492566718799463,0.1467555903425895,0.16756447634525018,0.17142507813128954,0.05817007684540512,0.020808886002660676,0.02466948778870004
2024-09-05,0.17012654464408825,0.11217669219076529,0.19731387682010665,0.17109756841441948,0.05794985245332296,0.08513718462934136,0.05892087622365419
2024-10-03,0.13929021165072794,0.1246789076440365,0.12549129431228942,0.16997446888477022,0.014611304006691445,0.0008123866682529235,0.04529556124073372
2024-10-31,0.12512510371665567,0.1225171681206609,0.09311445209630898,0.1685104346239499,0.002607935595994773,-0.02940271602435192,0.04599326650328901
2024-11-29,0.1356566928566758,0.14020614655596517,0.12071251567658148,0.16791106119516205,-0.0045494536992893575,-0.01949363087938369,0.027704914639196887
2024-12-30,0.15620000560550157,0.1284582723540318,0.12835371521633362,0.16736023271745495,0.02774173325146978,-0.00010455713769816355,0.038901960363423166
2025-01-30,0.15183314874910028,0.16074399175220452,0.16014595941532478,0.16683438051467087,-0.00891084300310424,-0.0005980323368797447,0.006090388762466342
2025-02-28,0.1476048763503794,0.43640895463607127,0.1297740214712396,0.16593148530038293,-0.2888040782856919,-0.3066349331648317,-0.27047746933568834
2025-03-28,0.17369654482951769,0.4401321249478703,0.18616159216530828,0.16687895189506963,-0.2664355801183526,-0.253970532782562,-0.27325317305280067
2025-04-28,0.35523832707863967,0.1448834925615228,0.4471452191802011,0.1813868383968938,0.21035483451711687,0.30226172661867834,0.03650334583537099
2025-05-27,0.1852838350354258,0.10694605470982942,0.19882472838405127,0.1809322945805725,0.07833778032559639,0.09187867367422185,0.07398623987074308
2025-06-25,0.16174325686815,0.09395350411310688,0.1491262161968145,0.1799732070727354,0.06778975275504312,0.05517271208370761,0.08601970295962852
2025-07-24,0.1467126529882643,0.10754348867352576,0.08852290766683125,0.1785142672344046,0.03916916431473855,-0.0190205810066945,0.07097077856087886
2025-08-21,0.14959242920767568,0.0798444875267964,0.09351754474424262,0.17739488032578538,0.06974794168087928,0.013673057217446216,0.09755039279898897
2025-09-19,0.14351691114806017,0.12517102096785873,0.0836129497912192,0.17614959746128236,0.01834589018020144,-0.04155807117663954,0.05097857649342363
2025-10-17,0.16815689294783065,0.13805443604418638,0.1115755153386557,0.17539164288243472,0.03010245690364427,-0.02647892070553068,0.037337206838248344
2025-11-14,0.16661451625808354,0.11162314572354874,0.14638100431398748,0.1746791657961217,0.0549913705345348,0.03475785859043874,0.06305602007257295
2025-12-15,0.15254520421767903,0.1018113533723613,0.1289263683538264,0.17383565817136548,0.05073385084531773,0.027115014981465096,0.07202430479900418
2026-01-14,0.14388624819596596,0.12936399297367976,0.0812525366741722,0.17266912146287455,0.014522255222286201,-0.048111456299507555,0.043305128489194794
2026-02-12,0.15621911253490076,0.13631328605850052,0.11555723701519476,0.1720361301476384,0.01990582647640024,-0.02075604904330576,0.035722844089137895
2026-03-13,0.1595512336999808,0.17205465026748665,0.12782943679865702,0.1713938107291181,-0.012503416567505837,-0.04422521346882963,-0.0006608395383685406
2026-04-13,0.1764481453642627,0.10552602223668711,0.17612841740388102,0.1717286723413481,0.07092212312757559,0.07060239516719391,0.06620265010466098
